id_evento,Estacion,Real_izq_der,Estimacion_izq_der,Real_distance,Estimacion_distance,Real_baz,Estimacion_baz,Distancia_Costa,costero,lat,lon
11548884_4.5,PB18,0.0,1.0,32.52602451,65.8032836914063,125.602092543658,104.778114318848,127.726,0.0,-17.7604,-69.2306
11550097_5.0,PB06,1.0,1.0,41.32862791,47.3057632446289,258.799742288471,228.443237304687,72.813,0.0,-22.7778,-69.9667
11551835_5.7,PB06,0.0,0.0,138.484609,113.933456420898,100.49172853429,120.583404541016,72.813,0.0,-22.928,-68.2444
11556491_4.5,GO01,1.0,1.0,52.73258086,55.9087066650391,336.7835477,327.443786621094,101.981,0.0,-19.2306,-69.3919
11557011_4.6,CO01,0.0,0.0,201.2473419,187.630416870117,64.57612831,65.2045211791992,121.188,0.0,-29.1846,-68.2252
11557527_4.2,PB06,0.0,0.0,301.4402114,299.075347900391,118.440554648762,122.040115356445,72.813,0.0,-23.9807,-66.9674
11558442_4.7,CO01,0.0,0.0,163.4399972,187.26318359375,64.27156935,66.6888122558594,121.188,0.0,-29.3285,-68.578
11559163_4.3,PB06,0.0,0.0,293.8974436,281.525695800781,126.195280118416,125.427703857422,72.813,0.0,-24.2557,-67.2365
11561514_4.1,PB09,0.0,0.0,112.9728656,85.9680023193359,0.949575801106505,344.825836181641,93.322,0.0,-20.7762,-69.2239
11563964_4.5,CO01,0.0,0.0,252.7280637,240.802429199219,125.8733595,133.33659362793,121.188,0.0,-31.2956,-67.943
11564395_4.6,CO01,0.0,0.0,199.0395661,222.861831665039,138.4496849,150.539321899414,121.188,0.0,-31.3136,-68.7071
11565647_4.6,CO02,0.0,1.0,131.8806576,125.754974365234,113.9101269,93.9212875366211,61.890,0.0,-31.6795,-69.7288
11565691_5.3,PB06,0.0,0.0,143.2233362,124.093467712402,110.441148675277,121.354400634766,72.813,0.0,-23.1521,-68.2614
11566680_4.3,PB09,0.0,0.0,68.98312428,68.5799255371094,59.207684342855,59.3645668029785,93.322,0.0,-21.4765,-68.6701
11568882_4.3,PB06,0.0,0.0,294.2941777,300.234069824219,114.832856725727,115.009796142578,72.813,0.0,-23.8002,-66.9511
2014_01_08 04_22_11_M5_7,PB09,1.0,1.0,183.3421689,186.902297973633,308.459230471712,302.222961425781,93.322,1.0,-20.7608,-70.6205
2014_03_04 10_51_14_M5_8,GO05,1.0,1.0,154.500581,207.826934814453,358.0413958,317.004089355469,23.616,1.0,-33.6179,-71.9872
2014_03_12 17_36_14_M4_6,GO03,1.0,1.0,168.7217759,155.466888427734,220.5139344,211.466888427734,66.152,1.0,-28.7466,-71.3568
2014_03_15 09_48_46_M4_7,PB09,1.0,1.0,88.31985253,85.8905792236328,307.722648515212,300.668609619141,93.322,0.0,-21.307,-69.9152
2014_03_18 14_35_58_M5_1,GO01,1.0,1.0,180.1889488,181.57975769043,252.816165,252.236862182617,101.981,1.0,-20.1418,-70.8407
2014_03_18 14_35_58_M5_1,GO01,1.0,1.0,180.1889488,181.57975769043,252.816165,252.236862182617,101.981,1.0,-20.1418,-70.8407
2014_03_18 14_35_58_M5_1,PSGCX,1.0,1.0,96.34894146,87.0961532592773,231.142312408518,236.532791137695,8.904,1.0,-20.1418,-70.8407
2014_03_18 14_35_58_M5_1,PSGCX,1.0,1.0,96.34894146,87.0961532592773,231.142312408518,236.532791137695,8.904,1.0,-20.1418,-70.8407
2014_03_18 14_58_44_M4_4,GO01,1.0,1.0,195.3814012,184.395141601562,278.3200748,281.89013671875,101.981,1.0,-19.4037,-71.0348
2014_03_18 14_58_44_M4_4,GO01,1.0,1.0,195.3814012,184.395141601562,278.3200748,281.89013671875,101.981,1.0,-19.4037,-71.0348
2014_03_18 14_58_44_M4_4,PSGCX,1.0,1.0,98.07148208,88.9203414916992,282.465959440941,262.293548583984,8.904,1.0,-19.4037,-71.0348
2014_03_18 14_58_44_M4_4,PSGCX,1.0,1.0,98.07148208,88.9203414916992,282.465959440941,262.293548583984,8.904,1.0,-19.4037,-71.0348
2014_03_22 12_59_57_M6_2,PSGCX,1.0,1.0,89.61209082,90.6102828979492,253.70297068146,264.093811035156,8.904,1.0,-19.8225,-70.9441
2014_03_23 18_20_01_M6_2,PSGCX,1.0,1.0,70.03220977,74.5546951293945,260.236513578183,263.457916259766,8.904,1.0,-19.7033,-70.7814
2014_03_23 20_23_04_M5_3,GO01,1.0,1.0,172.9624929,170.345123291016,263.03408,267.279388427734,101.981,1.0,-19.8505,-70.8333
2014_03_24 11_40_43_M5_7,PSGCX,1.0,1.0,79.47089093,82.1165466308594,249.339651811901,254.566345214844,8.904,1.0,-19.8491,-70.833
2014_03_24 19_59_42_M4_6,PSGCX,1.0,1.0,75.15056294,65.3389739990234,273.260872087394,274.569946289062,8.904,1.0,-19.5572,-70.8381
2014_03_25 00_15_14_M5_3,PSGCX,1.0,1.0,73.53917219,65.8155746459961,256.411684722212,254.386825561523,8.904,1.0,-19.752,-70.8051
2014_03_25 02_13_43_M4_4,GO01,1.0,1.0,166.3276155,136.429946899414,274.7556215,281.636505126953,101.981,1.0,-19.537,-70.7736
2014_03_25 17_08_03_M4_7,GO03,1.0,1.0,145.815135,160.550537109375,331.1926172,333.988006591797,66.152,1.0,-26.4388,-70.9391
2014_04_02 02_52_26_M4_9,PSGCX,1.0,1.0,75.14576752,72.2720794677734,295.438459166776,285.692260742187,8.904,1.0,-19.3045,-70.7688
2014_04_02 04_19_48_M5_1,PSGCX,1.0,1.0,94.73703654,92.0401916503906,252.288696966036,252.058212280273,8.904,1.0,-19.8555,-70.9847
2014_04_02 04_46_19_M5_7,PSGCX,1.0,1.0,82.81487222,89.28369140625,229.603112549472,229.606170654297,8.904,1.0,-20.081,-70.7261
2014_04_02 07_24_29_M4_8,GO01,1.0,1.0,133.9113691,123.322059631348,246.7977558,225.419052124023,101.981,1.0,-20.1412,-70.3714
2014_04_03 02_56_04_M5_5,PATCX,1.0,1.0,46.45842903,50.9909591674805,284.596957043069,287.016693115234,3.527,1.0,-20.7144,-70.5845
2014_04_03 05_26_13_M6_5,PB09,1.0,1.0,177.795858,182.889587402344,310.460139939441,306.323211669922,93.322,1.0,-20.7493,-70.5408
2014_04_03 05_34_29_M5_0,GO01,1.0,1.0,174.9996233,182.425262451172,240.3481362,231.795608520508,101.981,1.0,-20.4446,-70.6516
2014_04_03 06_54_31_M5_0,GO01,1.0,1.0,186.5358434,182.476989746094,234.6948743,236.033187866211,101.981,1.0,-20.6363,-70.6548
2014_04_03 11_50_45_M4_6,GO01,1.0,1.0,169.0747938,161.722534179688,230.6999405,243.101104736328,101.981,1.0,-20.6314,-70.4495
2014_04_03 12_34_45_M4_4,GO01,1.0,1.0,198.1513614,166.769287109375,236.4595587,244.529220581055,101.981,1.0,-20.6504,-70.779
2014_04_03 13_01_37_M4_7,PSGCX,1.0,1.0,91.6335499,84.9064636230469,242.01921668778,246.463821411133,8.904,1.0,-19.9839,-70.8963
2014_04_05 05_28_56_M4_7,GO01,1.0,1.0,191.5000014,181.923477172852,236.3122812,240.282348632812,101.981,1.0,-20.6214,-70.7229
2014_04_05 06_32_08_M4_8,GO01,1.0,1.0,181.3178002,179.106979370117,256.0984984,265.633178710937,101.981,1.0,-20.0541,-70.8767
